Stock_ID,Company,Date,Open_Price,Close_Price,Volume
1,"Lopez, Merritt and Elliott",2024-01-01,1186.56,164.23,151642
2,"Rivera, Riley and Ford",2024-01-02,970.51,1086.51,756035
3,Terry and Sons,2024-01-03,411.11,1099.07,311930
4,"Smith, Moore and Lindsey",2024-01-04,1149.21,83.63,815573
5,Tate Inc,2024-01-05,503.96,228.26,884494
6,Edwards PLC,2024-01-06,1408.99,700.81,669781
7,Morrow Inc,2024-01-07,112.15,512.39,724802
8,Poole Ltd,2024-01-08,689.26,755.32,483028
9,"Smith, Evans and Gordon",2024-01-09,1373.45,61.04,284443
10,"Mcbride, Shaw and Weaver",2024-01-10,709.76,657.73,667907
11,"Mann, Gay and Serrano",2024-01-11,786.5,673.61,829944
12,Smith Group,2024-01-12,173.12,1192.0,847532
13,"Johnson, Parker and Miller",2024-01-13,668.21,397.79,575910
14,"Potter, Frank and Chavez",2024-01-14,1131.29,350.07,121600
15,"Bates, Snyder and Campbell",2024-01-15,1307.27,171.1,645470
16,"Moody, Hall and Hernandez",2024-01-16,519.32,69.04,668162
17,Lindsey-Weeks,2024-01-17,200.91,1013.72,584502
18,"Adams, Johnson and Green",2024-01-18,1213.06,537.67,842033
19,"Woods, Zamora and Norman",2024-01-19,622.51,1416.92,792963
20,"Peterson, Miller and Moreno",2024-01-20,960.26,912.89,829864
21,Alvarado LLC,2024-01-21,102.18,560.16,514396
22,Lindsey-Peterson,2024-01-22,484.87,1186.4,770534
23,Gilmore-King,2024-01-23,119.1,1279.32,239203
24,Barton-Hughes,2024-01-24,589.71,232.83,668214
25,Vazquez-Wilcox,2024-01-25,430.5,1278.95,499037
26,Kelley PLC,2024-01-26,1486.26,304.22,981606
27,Rowe PLC,2024-01-27,622.96,1469.17,899881
28,Montgomery PLC,2024-01-28,495.93,258.5,431975
29,Smith-Francis,2024-01-29,370.6,212.72,217215
30,Lang-Hanna,2024-01-30,766.34,881.62,88298
31,"Murphy, Rodriguez and Luna",2024-01-31,133.92,1497.12,88807
32,Lewis-Arnold,2024-02-01,470.07,51.82,821885
33,Clark-Price,2024-02-02,390.68,164.44,155644
34,Mckee Ltd,2024-02-03,1446.97,53.91,841755
35,"Richmond, Thompson and Williams",2024-02-04,942.73,152.99,598714
36,"Bailey, Young and Mclaughlin",2024-02-05,1300.75,541.25,204648
37,"Chambers, Frost and Hernandez",2024-02-06,180.62,509.64,313444
38,Raymond-Newman,2024-02-07,266.03,814.54,540712
39,Smith-Hicks,2024-02-08,1025.23,487.39,253842
40,Rodriguez-Horne,2024-02-09,1469.54,1079.3,356085
41,Wright PLC,2024-02-10,83.67,398.9,388155
42,Moran LLC,2024-02-11,1366.19,269.37,369290
43,Mcbride Group,2024-02-12,134.17,1497.97,951397
44,Rosales-Thomas,2024-02-13,1145.71,1321.3,639816
45,Martin LLC,2024-02-14,143.67,161.49,101770
46,Donovan LLC,2024-02-15,420.81,462.51,647524
47,Burns-Collins,2024-02-16,295.93,218.56,177651
48,"Patel, White and Bennett",2024-02-17,332.93,1240.71,286873
49,Smith PLC,2024-02-18,204.51,200.84,794489
50,Knight-Johnson,2024-02-19,805.14,237.33,700936
51,Wilson Ltd,2024-02-20,59.06,144.05,329206
52,"Brown, Nelson and Stanley",2024-02-21,1196.38,1072.05,813611
53,Bentley-Gomez,2024-02-22,251.13,747.99,845902
54,Luna LLC,2024-02-23,205.36,1018.72,369363
55,Gordon-Roy,2024-02-24,672.92,509.49,216678
56,Turner-Stark,2024-02-25,367.51,813.03,286817
57,Valencia Ltd,2024-02-26,1261.99,165.83,473602
58,Dixon-Bates,2024-02-27,58.52,738.06,189288
59,Zimmerman-Simmons,2024-02-28,265.07,1499.17,95920
60,Bryant and Sons,2024-02-29,1062.6,1340.3,528820
61,Armstrong and Sons,2024-03-01,264.03,800.7,380495
62,"Hinton, Rollins and Summers",2024-03-02,1312.64,1043.83,201737
63,"Smith, Garrison and Johnson",2024-03-03,795.28,1114.36,433816
64,Stewart-Sims,2024-03-04,665.96,994.64,111337
65,"Stanley, Cordova and Li",2024-03-05,77.5,706.55,968808
66,"Garrett, Banks and Marquez",2024-03-06,766.77,846.37,48500
67,"Parsons, Mathis and Brown",2024-03-07,1422.6,1266.09,252243
68,Stokes Group,2024-03-08,551.41,1218.56,707868
69,Coleman-Ortega,2024-03-09,640.63,584.22,666944
70,"Lambert, Jennings and Wilson",2024-03-10,1251.94,1245.69,105118
71,"Fischer, Washington and Hall",2024-03-11,1085.32,899.68,948252
72,Padilla Ltd,2024-03-12,755.53,83.02,324847
73,Perkins-Parker,2024-03-13,387.48,147.59,934540
74,"Lewis, Hansen and Adams",2024-03-14,1024.39,410.18,65890
75,Crawford-Merritt,2024-03-15,889.05,1396.19,759386
76,Johnson-Boyd,2024-03-16,700.16,1386.47,814375
77,Cook Ltd,2024-03-17,885.94,1194.67,135990
78,Farmer Group,2024-03-18,501.09,1149.97,892887
79,Brown-Thompson,2024-03-19,995.5,696.63,686296
80,Harris-Ortiz,2024-03-20,181.88,489.62,44608
81,Parker-Powell,2024-03-21,582.51,98.45,381811
82,Myers-Williams,2024-03-22,879.65,938.03,297794
83,Bautista-Harvey,2024-03-23,1225.53,945.97,792315
84,Crawford-Gutierrez,2024-03-24,726.55,1171.09,562570
85,Klein LLC,2024-03-25,955.22,353.62,169623
86,"Phelps, Dominguez and Blackwell",2024-03-26,858.62,279.28,533731
87,Hanson-Hartman,2024-03-27,531.77,1102.15,770761
88,Ramirez-Lin,2024-03-28,248.96,954.79,471703
89,"Gonzales, Brown and Henson",2024-03-29,1361.01,171.83,818547
90,Johnson-Carroll,2024-03-30,381.72,806.54,703743
91,"James, Lopez and Tran",2024-03-31,357.97,1321.16,537893
92,"Edwards, Foster and Horton",2024-04-01,307.79,60.53,906211
93,Terry LLC,2024-04-02,1000.13,549.06,580960
94,Cooper-Delgado,2024-04-03,124.01,863.68,670733
95,Brown LLC,2024-04-04,182.65,1156.44,956666
96,Combs PLC,2024-04-05,1067.69,503.11,84113
97,Werner-Lee,2024-04-06,1101.3,1163.42,16107
98,Peters LLC,2024-04-07,797.74,423.23,179825
99,Bowen Ltd,2024-04-08,1005.65,209.78,48099
100,James-Romero,2024-04-09,500.23,1241.44,296253
